,Uniprot IDs,Gene,Enriched
406,Q9UQ80,['PA2G4'],[False]
407,O95147,['DUSP14'],[False]
408,P20823,['HNF1A'],[False]
409,Q16790,['CA9'],[False]
410,Q02078,['MEF2A'],[False]
411,O75928,['PIAS2'],[False]
412,Q92847,['GHSR'],[False]
413,Q8WUG5,['SLC22A17'],[False]
414,Q96T88,['UHRF1'],[False]
415,P68363,['TUBA1B'],[False]
416,P84243,['H3-3B'],[False]
417,Q9BRX5,['GINS3'],[False]
418,P50148,['GNAQ'],[False]
419,P08572,['COL4A2'],[False]
420,P21583,['KITLG'],[False]
421,P09327,['VIL1'],[False]
422,Q96GX5,['MASTL'],[False]
423,O43665,['RGS10'],[False]
424,Q13627,['DYRK1A'],[False]
425,Q14019,['COTL1'],[False]
426,P11171,['EPB41'],[False]
427,P49419,['ALDH7A1'],[False]
428,P02774,['GC'],[False]
429,P20807,['CAPN3'],[False]
430,Q13563,['PKD2'],[False]
431,Q99801,['NKX3-1'],[False]
432,Q9NRR4,['DROSHA'],[False]
433,P18507,['GABRG2'],[False]
434,O15054,['KDM6B'],[False]
435,O43312,['MTSS1'],[False]
436,Q9Y5C1,['ANGPTL3'],[False]
437,P08294,['SOD3'],[False]
438,P21246,['PTN'],[False]
439,O43791,['SPOP'],[False]
440,Q9UMS4,['PRPF19'],[False]
441,Q13586,['STIM1'],[False]
442,Q12888,['TP53BP1'],[False]
443,P49848,['TAF6'],[False]
444,P55036,['PSMD4'],[False]
445,Q9Y258,['CCL26'],[False]
446,O75533,['SF3B1'],[False]
447,P51965,['UBE2E1'],[False]
448,P04004,['VTN'],[False]
449,Q16625,['OCLN'],[False]
450,Q9ULK4,['MED23'],[False]
451,Q16143,['SNCB'],[False]
452,Q9UBK8,['MTRR'],[False]
453,Q6P5W5,['SLC39A4'],[False]
454,Q07157,['TJP1'],[False]
455,P63027,['VAMP2'],[False]
456,P36894,['BMPR1A'],[False]
457,Q9HCJ0,['TNRC6C'],[False]
458,Q15691,['MAPRE1'],[False]
459,Q9H4L7,['SMARCAD1'],[False]
460,O60880,['SH2D1A'],[False]
461,Q86UX7,['FERMT3'],[False]
462,Q15233,['NONO'],[False]
463,Q9UER7,['DAXX'],[False]
464,O00299,['CLIC1'],[False]
465,P46108,['CRK'],[False]
466,P27695,['APEX1'],[False]
467,Q6P1M3,['LLGL2'],[False]
468,Q9UJX4,['ANAPC5'],[False]
469,Q13224,['GRIN2B'],[False]
470,Q9UKX7,['NUP50'],[False]
471,Q9Y696,['CLIC4'],[False]
472,P04908,['H2AC8'],[False]
473,P49802,['RGS7'],[False]
474,O75056,['SDC3'],[False]
475,Q9UMR2,['DDX19B'],[False]
476,P43250,['GRK6'],[False]
477,P04818,['TYMS'],[False]
478,P35869,['AHR'],[False]
479,Q9HBA0,['TRPV4'],[False]
480,O00268,['TAF4'],[False]
481,Q29983,['MICA'],[False]
482,P24928,['None'],[False]
483,P08263,['GSTA1'],[False]
484,P54132,['BLM'],[False]
485,Q9Y5S9,['RBM8A'],[False]
486,Q8WYP5,['AHCTF1'],[False]
487,P60896,['SEM1'],[False]
488,P01034,['CST3'],[False]
489,Q01970,['PLCB3'],[False]
490,Q92913,['FGF13'],[False]
491,P22059,['OSBP'],[False]
492,Q09428,['ABCC8'],[False]
493,Q6P1X5,['TAF2'],[False]
494,P14653,['HOXB1'],[False]
495,Q9UBE0,['SAE1'],[False]
496,P39748,['FEN1'],[False]
497,Q92973,['TNPO1'],[False]
498,P23588,['EIF4B'],[False]
499,P30531,['SLC6A1'],[False]
500,Q9UNA0,['ADAMTS5'],[False]
501,Q14691,['GINS1'],[False]
502,Q15542,['TAF5'],[False]
503,P35052,['GPC1'],[False]
504,P06899,['H2BC11'],[False]
505,P14061,['HSD17B1'],[False]
506,O76074,['PDE5A'],[False]
507,Q6P4R8,['NFRKB'],[False]
508,Q02388,['COL7A1'],[False]
509,O75475,['PSIP1'],[False]
510,Q14194,['CRMP1'],[False]
511,O15391,['YY2'],[False]
512,P02788,['LTF'],[False]
513,Q9BVI0,['PHF20'],[False]
514,P78352,['DLG4'],[False]
515,Q14191,['WRN'],[False]
516,Q9HAV4,['XPO5'],[False]
517,Q15726,['KISS1'],[False]
518,Q99523,['SORT1'],[False]
519,Q06787,['FMR1'],[False]
520,Q68J44,['DUSP29'],[False]
521,P62318,['SNRPD3'],[False]
522,Q01968,['OCRL'],[False]
523,Q9H1A4,['ANAPC1'],[False]
524,P78563,['ADARB1'],[False]
525,P29375,['KDM5A'],[False]
526,Q6V1X1,['DPP8'],[False]
527,Q06141,['REG3A'],[False]
528,Q92558,['WASF1'],[False]
529,P60880,['SNAP25'],[False]
530,P42658,['DPP6'],[False]
531,Q15642,['TRIP10'],[False]
532,Q9UII6,['DUSP13B'],[False]
533,P61956,['SUMO2'],[False]
534,P06734,['FCER2'],[False]
535,P20849,['COL9A1'],[False]
536,P49789,['FHIT'],[False]
537,Q8WUM0,['NUP133'],[False]
538,P28472,['GABRB3'],[False]
539,O95197,['RTN3'],[False]
540,Q49AN0,['CRY2'],[False]
541,O95429,['BAG4'],[False]
542,P00742,['F10'],[False]
543,O95155,['UBE4B'],[False]
544,P49913,['CAMP'],[False]
545,Q9UJX2,['CDC23'],[False]
546,P11387,['TOP1'],[False]
547,Q8TEQ6,['GEMIN5'],[False]
548,Q8WVM7,['STAG1'],[False]
