,GO terms,Common Intersections
259,HPA:0310441,"['ABL1', 'CDKN2A', 'EIF4G1']"
260,GO:0042981,"['RTN4', 'ABL1', 'CDKN2A']"
261,GO:0044389,['RTN4']
262,GO:0061629,['CDKN2A']
263,GO:0010332,[]
264,GO:0031667,"['OGT', 'EIF4G1', 'DAPL1']"
265,HPA:0330221,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
266,HPA:0600432,"['CDKN2A', 'EIF4G1']"
267,GO:0070727,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
268,REAC:R-HSA-5633007,['CDKN2A']
269,GO:0030659,[]
270,HPA:0100121,"['EIF4G1', 'ABL1', 'CDKN2A', 'RTN4', 'OGT']"
271,GO:0032870,['OGT']
272,GO:0010975,"['RTN4', 'ABL1', 'MAPT']"
273,GO:0000793,[]
274,GO:0032868,['OGT']
275,GO:0043233,"['ABL1', 'MAPT', 'OGT', 'CDKN2A']"
276,GO:0016567,"['ABL1', 'CDKN2A', 'OGT']"
277,GO:0003824,"['ABL1', 'OGT', 'CDKN2A']"
278,GO:0019903,['MAPT']
279,GO:0043124,['ABL1']
280,GO:0004860,['CDKN2A']
281,GO:0007169,"['RTN4', 'ABL1', 'OGT']"
282,GO:0010557,"['EIF4G1', 'ABL1', 'CDKN2A', 'RTN4', 'OGT']"
283,HPA:0340461,"['ABL1', 'CDKN2A', 'EIF4G1']"
284,GO:0097191,[]
285,GO:0019221,[]
286,GO:0042802,"['RTN4', 'MAPT', 'EIF4G1']"
287,HPA:0050051,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
288,GO:0070013,"['ABL1', 'MAPT', 'OGT', 'CDKN2A']"
289,GO:0051239,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
290,GO:0010243,"['ABL1', 'OGT']"
291,GO:0044248,"['EIF4G1', 'ABL1', 'OGT', 'MAPT', 'CDKN2A', 'DAPL1']"
292,GO:0031625,['RTN4']
293,GO:0000209,['CDKN2A']
294,GO:0022607,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'OGT']"
295,GO:0010646,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
296,GO:0022407,"['ABL1', 'CDKN2A', 'DAPL1']"
297,GO:0030182,"['EIF4G1', 'ABL1', 'TUG1', 'MAPT', 'RTN4']"
298,GO:1903131,"['ABL1', 'CDKN2A']"
299,GO:0099080,"['MAPT', 'EIF4G1']"
300,HPA:0470672,[]
301,GO:0051179,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
302,GO:0010033,"['ABL1', 'OGT', 'EIF4G1']"
303,GO:0045597,"['MAPT', 'EIF4G1']"
304,GO:0043226,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
305,GO:0050865,"['ABL1', 'CDKN2A', 'DAPL1']"
306,GO:0071496,"['OGT', 'EIF4G1', 'DAPL1']"
307,GO:0048285,['MAPT']
308,HPA:0040081,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
309,WP:WP2034,[]
310,GO:0005488,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
311,GO:0007154,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
312,GO:0019538,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
313,GO:0043068,"['ABL1', 'CDKN2A']"
314,GO:0051336,"['ABL1', 'CDKN2A', 'MAPT']"
315,GO:0015631,['MAPT']
316,GO:0051235,['ABL1']
317,GO:0030136,[]
318,GO:0005622,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
319,GO:0015630,['MAPT']
320,GO:0050807,"['ABL1', 'OGT', 'EIF4G1']"
321,REAC:R-HSA-1257604,[]
322,GO:0043232,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
323,GO:0006351,"['ABL1', 'OGT', 'CDKN2A']"
324,GO:0031669,"['OGT', 'EIF4G1', 'DAPL1']"
325,GO:0016310,"['ABL1', 'MAPT', 'CDKN2A', 'EIF4G1']"
326,GO:0040007,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'CDKN2A']"
327,GO:0022008,"['EIF4G1', 'ABL1', 'TUG1', 'MAPT', 'RTN4']"
328,HPA:0620000,"['ABL1', 'OGT', 'EIF4G1', 'DAPL1']"
329,GO:0023051,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
330,GO:0071310,"['ABL1', 'OGT']"
331,GO:0046777,['ABL1']
332,GO:0051100,[]
333,HPA:0470000,"['OGT', 'CDKN2A', 'EIF4G1']"
334,GO:0043207,"['RTN4', 'ABL1']"
335,GO:0018105,['EIF4G1']
336,GO:0019899,"['ABL1', 'RTN4', 'MAPT', 'CDKN2A']"
337,GO:0032501,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
338,GO:0030154,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
339,GO:0000819,[]
340,GO:0043065,"['ABL1', 'CDKN2A']"
341,GO:0044238,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
342,GO:0009607,"['RTN4', 'ABL1']"
343,REAC:R-HSA-162582,"['RTN4', 'ABL1', 'EIF4G1']"
344,GO:0032409,[]
345,WP:WP1742,"['ABL1', 'CDKN2A']"
346,GO:0034765,['ABL1']
347,HPA:0030000,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
348,HPA:0080121,"['EIF4G1', 'ABL1', 'CDKN2A', 'RTN4', 'OGT']"
349,GO:0071456,['RTN4']
350,GO:0050803,"['ABL1', 'OGT', 'EIF4G1']"
351,GO:0043524,[]
352,GO:0043231,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
353,GO:0051403,[]
354,GO:1905475,['OGT']
355,GO:0045785,['ABL1']
356,GO:0010605,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
357,GO:0050435,['RTN4']
358,GO:2001242,[]
359,REAC:R-HSA-449147,[]
360,GO:0051223,['CDKN2A']
361,GO:0051098,"['ABL1', 'EIF4G1']"
362,GO:0016043,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
