,Interactor A,Interactor B
96,Q9H714,[]
97,Q9BY60,[]
98,Q9P2M4,[]
99,P11279,[]
100,P59074,[]
101,Q15139,[]
102,A6NC51,[]
103,Q96AJ9,[]
104,P78539,[]
105,C4AMC7,[]
106,Q6VEQ5,[]
107,P02792,[]
108,Q96CP6,[]
109,Q9UM54,[]
110,Q8IXH6,[]
111,Q96A57,[]
112,Q8TBX8,[]
113,Q9BZF2,[]
114,Q9BQS8,[]
115,P19474,[]
116,Q9Y6I9,[]
117,Q8WUX9,[]
