Interactor A,Interactor B,Confidence Value
P05556,O43294,0.63
P13010,Q9GZQ8,0.63
P50750,P07947,0.63
P52597,Q6NUN9,0.63
Q07889,Q9UK00,0.63
Q9UJX6,Q14676,0.63
Q06609,P16403,0.63
P06748,P47974,0.63
P13010,Q12888,0.63
P50750,P47755,0.63
Q9UBU9,Q15904,0.63
P50402,P36957,0.63
P52597,O75807,0.63
P05386,P21673,0.63
P36578,Q13131,0.63
Q8WUP2,Q06787,0.63
P06748,P49116,0.63
P50750,O00148,0.63
Q9UBU9,Q6P1J9,0.63
P37173,P14618,0.63
P50402,Q5T686,0.63
P52597,Q04864,0.63
P05386,P63220,0.63
Q9UJX5,Q86UY6,0.63
P36578,Q9BV73,0.63
P50750,Q96SB3,0.63
Q9UBU9,Q96PU8,0.63
P37173,O14763,0.63
P51449,Q8WYA1,0.63
P36578,Q15365,0.63
P49790,Q16666,0.63
P13010,Q6NUN9,0.63
P50750,P05787,0.63
Q9UBU9,Q8TD16,0.63
P37173,P30530,0.63
Q92913,Q8WVZ9,0.63
P50402,Q96HE8,0.63
P52597,Q9H4M7,0.63
Q9UJX4,P68431,0.63
P36578,P46734,0.63
Q6PHW0,O95696,0.63
P49790,Q86UY6,0.63
P13010,Q9NPD8,0.63
P50750,P16104,0.63
Q92913,O75683,0.63
P50402,O94761,0.63
P52597,O60356,0.63
Q9UJX4,Q13627,0.63
P36578,P13693,0.63
Q9Y6H6,O94955,0.63
Q9UBU9,O95166,0.63
P13010,Q9Y6K9,0.63
P50750,P62753,0.63
Q15004,Q9NWH9,0.63
Q92913,Q9H0A0,0.63
P12931,P23760,0.63
Q9UJX3,P14314,0.63
Q9Y6H6,Q96S97,0.63
Q9UBU9,Q99848,0.63
P13010,P54252,0.63
P50750,Q9H7H0,0.63
Q15004,P07237,0.63
Q92913,Q9Y676,0.63
P50402,P08047,0.63
P24928,Q86WI1,0.63
Q9UJX3,Q9Y5Y3,0.63
P36578,Q96HY6,0.63
P62877,O43463,0.63
Q9Y6H6,O14641,0.63
Q9UBU9,Q8TDR4,0.63
P12956,Q96KM6,0.63
P50750,Q71U36,0.63
Q15004,Q86U42,0.63
P50402,Q8IXJ9,0.63
P12931,P78314,0.63
P24928,Q71F56,0.63
Q9UJX3,Q27J81,0.63
P36578,Q14498,0.63
P62877,Q9P2N7,0.63
Q9Y6H6,Q6P4R8,0.63
Q9UBU9,Q13555,0.63
P12956,P20827,0.63
Q15004,Q9HB71,0.63
Q12905,Q13131,0.63
P04271,P09038,0.63
Q9NT62,Q15843,0.63
P62877,Q9BQE3,0.63
Q9Y6H6,Q08357,0.63
Q9UBU9,Q13489,0.63
O14519,Q96HA8,0.63
Q15004,P06748,0.63
Q12905,Q14999,0.63
P12931,Q9H0W5,0.63
P04271,Q8TCN5,0.63
P36578,Q9H8V3,0.63
P62877,P62906,0.63
Q9Y6H6,O95819,0.63
P41208,Q86UY6,0.63
Q15004,P41091,0.63
Q12905,Q5XPI4,0.63
P04271,Q32NC0,0.63
P36578,Q7Z6W7,0.63
P62877,Q12905,0.63
Q9Y6H6,Q5VT06,0.63
Q15004,P62888,0.63
O43715,Q16854,0.63
P04626,Q13239,0.63
Q12905,Q0VD86,0.63
P04271,Q9UNY4,0.63
P62877,P35268,0.63
Q9Y6H6,Q9NWK9,0.63
Q96IZ0,Q9H0W5,0.63
P12956,P13639,0.63
O96017,Q92831,0.63
Q15004,P61513,0.63
Q12905,P61964,0.63
P12931,Q8N6Y1,0.63
Q7Z3C6,Q6ZNG0,0.63
P05386,P11441,0.63
P62877,P11498,0.63
Q9Y6H6,Q96EK4,0.63
Q96IZ0,Q9Y5B0,0.63
Q15004,P62263,0.63
P04626,Q9Y337,0.63
Q12905,Q99543,0.63
P12931,P32241,0.63
Q7Z3C6,Q13501,0.63
P05386,Q9NWS0,0.63
P62877,O94810,0.63
O76074,P62136,0.63
Q15004,P04746,0.63
Q96B02,Q9UPQ4,0.63
P04626,P14866,0.63
Q12905,O95600,0.63
P12931,Q01628,0.63
P31431,P55084,0.63
P62877,Q96RQ3,0.63
P12956,Q70EL3,0.63
Q9Y3E7,Q9H267,0.63
Q15004,Q9BUJ2,0.63
Q9UNL4,Q15059,0.63
P05067,P38159,0.63
Q15637,Q9BWF3,0.63
P55957,P49773,0.63
P05386,Q9UL40,0.63
Q07666,Q92542,0.63
P40855,P55072,0.63
P12956,P61964,0.63
P78560,Q9Y5W5,0.63
Q15004,P49756,0.63
O95630,Q01628,0.63
P05067,P10412,0.63
Q15637,Q96DH6,0.63
P51449,Q14995,0.63
Q13351,P13807,0.63
P40855,Q7KZN9,0.63
P12956,O94972,0.63
O14936,Q9GZM8,0.63
Q15004,Q06265,0.63
Q13188,P11802,0.63
Q15004,Q9Y2T4,0.63
P04626,O94933,0.63
Q13188,Q7Z7K6,0.63
P05067,P56134,0.63
P51587,Q96A61,0.63
P15927,Q13415,0.63
O00522,Q9HAU4,0.63
O75928,P36406,0.63
Q15004,P47897,0.63
P05067,P0C0S5,0.63
Q15637,Q9NRW3,0.63
P15927,Q04323,0.63
Q15418,Q00013,0.63
O75928,P41212,0.63
P61073,P42695,0.63
Q15004,Q9BQG0,0.63
Q8WXE9,P60763,0.63
P05067,P0C0L4,0.63
P24928,Q03111,0.63
P15927,Q15717,0.63
Q15418,Q6P2Q9,0.63
P61073,Q8N5B7,0.63
Q15004,P50990,0.63
O95292,Q6GPH6,0.63
P05556,P40337,0.63
O75533,Q06787,0.63
P24928,O75147,0.63
P15927,Q9P0K7,0.63
Q15418,P35268,0.63
P61073,Q8WV83,0.63
Q15004,Q13111,0.63
P05067,P21246,0.63
P24928,Q9C0B0,0.63
P15927,O43823,0.63
Q15418,P62847,0.63
Q9Y3B4,P49116,0.63
P61073,O43299,0.63
Q15004,P48643,0.63
P05556,P52198,0.63
Q9UMX1,Q9UJC3,0.63
P49848,P23497,0.63
P05067,P16435,0.63
Q15796,Q969K4,0.63
P15927,P78549,0.63
O60828,P62805,0.63
P61073,Q9NVA1,0.63
Q15004,P07814,0.63
P05556,Q9NRC1,0.63
Q03518,Q8IVS2,0.63
Q15796,Q99732,0.63
P24928,Q86UY6,0.63
P15927,Q8NI27,0.63
Q15004,Q96QV6,0.63
Q13042,O43504,0.63
P15927,Q96QR8,0.63
Q15418,O75419,0.63
Q15004,Q15029,0.63
P29083,Q9NVC6,0.63
Q03518,Q13241,0.63
Q07912,P38646,0.63
P04271,Q969U6,0.63
P15927,Q05682,0.63
Q15418,Q9BQ39,0.63
Q9NR28,O15498,0.63
Q15004,Q8NCA5,0.63
Q15418,Q8N1B4,0.63
Q9NR28,P20674,0.63
Q15004,P52597,0.63
P05106,O75369,0.63
P53999,Q9NWB6,0.63
Q9C0C7,P35998,0.63
Q15796,Q5T9A4,0.63
Q9UMR2,Q9UIA9,0.63
Q15004,Q5T5P2,0.63
P60006,Q13042,0.63
Q9C0C7,Q9GZQ8,0.63
Q15796,A0JLT2,0.63
P30260,Q99618,0.63
Q6NUK1,O95994,0.63
Q15004,Q8IX01,0.63
P53999,P62807,0.63
Q9C0C7,P30281,0.63
Q6NUK1,Q9BUR5,0.63
Q9C0C7,O00410,0.63
Q16543,P32119,0.63
Q9UMR2,Q659C4,0.63
Q06710,Q86SE9,0.63
Q07666,Q9H0W5,0.63
P84022,Q14686,0.63
O43172,Q15843,0.63
Q06710,Q9ULL5,0.63
Q07955,Q9Y3C1,0.63
Q07666,P49840,0.63
P01137,Q6MZW2,0.63
Q9UJX6,O94927,0.63
P49768,O95977,0.63
Q06710,Q9H7S9,0.63
Q07955,Q9H7N4,0.63
Q07666,Q9HCD5,0.63
Q9UJX6,P53621,0.63
P06748,P05198,0.63
Q15637,Q9H4P4,0.63
O43172,P48426,0.63
P26599,P25788,0.63
Q07955,P39023,0.63
Q07666,Q8TB96,0.63
Q9UJX6,P08237,0.63
P06748,Q99417,0.63
Q16543,P35222,0.63
Q15637,P78317,0.63
P06239,P62280,0.63
Q07666,Q03468,0.63
Q9UJX6,Q70EL1,0.63
P06748,Q96JJ3,0.63
P84022,P12931,0.63
Q16543,Q96EP0,0.63
Q15637,Q9HBD1,0.63
P06239,Q6NXT4,0.63
P26599,Q99497,0.63
P13010,O60264,0.63
P01042,P32246,0.63
Q9UJX6,Q9HCH0,0.63
P84022,O14867,0.63
Q15637,Q9Y6X3,0.63
P48788,Q9HAU5,0.63
Q9UJX5,P06493,0.63
Q16543,Q13829,0.63
P06239,Q14160,0.63
P26599,P61081,0.63
O75928,Q96HD9,0.63
P06748,Q86UP2,0.63
Q16543,O96006,0.63
O75533,O15205,0.63
P06239,O00471,0.63
O75928,Q96B26,0.63
Q92973,P78317,0.63
Q9UJX3,Q09472,0.63
P06748,Q17R60,0.63
Q92540,Q9Y3B7,0.63
O75533,P27694,0.63
P26599,Q8IXJ9,0.63
Q8WYP5,Q99567,0.63
O75928,Q7Z6I8,0.63
P12956,Q13017,0.63
Q92973,Q8WUK0,0.63
Q16543,O75953,0.63
P26599,Q9Y586,0.63
P50402,O15379,0.63
Q9Y3B4,P06702,0.63
Q92973,Q8NDV7,0.63
Q92540,Q14814,0.63
P26599,Q96CF2,0.63
P50402,P27348,0.63
P12956,P53999,0.63
Q7Z3C6,Q17RB8,0.63
Q92540,O95985,0.63
P50750,Q00987,0.63
Q15910,Q8NHM5,0.63
O75533,Q9BRS2,0.63
P17931,P42166,0.63
P50402,Q8WTP8,0.63
P12956,Q13442,0.63
Q9UQC2,Q9NQT8,0.63
Q9HCJ0,Q9BZB8,0.63
Q92540,Q8TEK3,0.63
P50750,P46734,0.63
P17931,Q9BXN2,0.63
P50402,Q02487,0.63
P12956,P46108,0.63
P09012,P54577,0.63
P50750,Q02241,0.63
P17931,P42765,0.63
P06454,O94989,0.63
P50402,Q08379,0.63
P12956,Q9P035,0.63
O60829,O14983,0.63
P01130,O95858,0.63
Q9H1D0,P49757,0.63
P09012,Q13151,0.63
O14519,Q01860,0.63
Q15910,Q9UGU5,0.63
O75533,Q9BQ67,0.63
P35236,P08069,0.63
P50402,O95210,0.63
O60829,P40429,0.63
P01130,P08311,0.63
Q01081,P49756,0.63
O14519,Q15022,0.63
O75533,P61964,0.63
P50402,Q9P0L0,0.63
P06401,P07355,0.63
P12956,P63162,0.63
O60829,O14744,0.63
Q01081,Q15050,0.63
P51587,Q6ZN30,0.63
P06748,P56182,0.63
Q99523,Q8N9R6,0.63
Q9UKT4,O15016,0.63
O75533,Q969H0,0.63
P50402,Q9NZ43,0.63
P06401,P62987,0.63
P12956,Q8WY36,0.63
O60829,P33992,0.63
P51587,Q9C091,0.63
P06748,P55957,0.63
Q99523,Q99547,0.63
Q96AC1,O43493,0.63
Q06609,Q14145,0.63
P50402,Q86YN1,0.63
Q13542,Q68EM7,0.63
O60829,P52732,0.63
Q06609,Q9ULT8,0.63
P50402,Q9Y679,0.63
Q13542,Q04637,0.63
O60829,P22314,0.63
Q01081,O94761,0.63
P06748,P62081,0.63
Q99523,P54257,0.63
O96017,P50539,0.63
Q96AC1,Q96A22,0.63
P19634,Q9UQV4,0.63
Q15691,Q9NXR1,0.63
P50402,Q8NDI1,0.63
O60829,P62888,0.63
P17931,Q8N386,0.63
Q96B02,Q8N8N0,0.63
P30281,Q8IYF3,0.63
Q96AC1,Q96MM6,0.63
P19634,Q7Z7J7,0.63
Q15691,Q6ZRV2,0.63
P50402,O15498,0.63
O60829,Q16875,0.63
P02549,Q8N8S7,0.63
Q9Y3E7,Q8N123,0.63
Q6VMQ6,P55287,0.63
O60829,O15294,0.63
P11912,Q9UHJ9,0.63
P02549,P27694,0.63
Q15796,Q13438,0.63
Q8NI22,Q9BXK5,0.63
P62826,P68431,0.63
O60741,P13928,0.63
Q96T88,Q9BZV1,0.63
P11912,Q6ZT21,0.63
Q9UBU9,P35998,0.63
P62826,P26368,0.63
P04626,Q8IXB1,0.63
O60741,P09601,0.63
Q96T88,P41002,0.63
P11912,Q16617,0.63
Q9UBU9,O75771,0.63
O14936,O43493,0.63
Q13451,Q9NX74,0.63
Q15796,P26447,0.63
Q8IV16,Q9H497,0.63
Q15691,Q8N884,0.63
P11912,Q8IY26,0.63
Q9UBU9,Q7Z419,0.63
O14936,Q15669,0.63
Q15796,Q93009,0.63
Q8IV16,Q8IUC8,0.63
Q6VMQ6,P01023,0.63
P11912,Q8NBI2,0.63
Q9UBU9,Q5T7W0,0.63
Q13451,P59910,0.63
P04626,P0DMV9,0.63
Q8IV16,P13497,0.63
Q6VMQ6,P60709,0.63
O95292,P12830,0.63
Q9UBU9,Q99700,0.63
P12931,O95886,0.63
Q13451,Q9NVH1,0.63
P62826,Q96CV9,0.63
Q8IV16,O75078,0.63
Q6VMQ6,Q15697,0.63
Q9UBU9,P11441,0.63
P61073,Q8IU57,0.63
Q92945,O95166,0.63
P84022,Q9NY61,0.63
P15941,Q5BVD1,0.63
O95718,Q8NHS0,0.63
Q8NI22,O43242,0.63
O95292,Q9NR77,0.63
Q92945,Q5S007,0.63
P15941,Q08722,0.63
O95718,O75190,0.63
Q8NI22,Q14CN2,0.63
O95292,P62805,0.63
Q9UBU9,Q9Y5L0,0.63
Q9NR28,Q6ZPD8,0.63
P15941,Q8NHS1,0.63
Q16576,P48431,0.63
O95718,O95292,0.63
O95292,P20338,0.63
Q9UBU9,Q8IZX4,0.63
Q9NR28,Q14498,0.63
Q92945,P28799,0.63
Q16576,Q8IWS0,0.63
O14686,O95600,0.63
Q9UBU9,P47985,0.63
Q9H816,P55036,0.63
Q92945,Q13489,0.63
Q96FI4,P06746,0.63
Q16576,Q71DI3,0.63
O14686,P56693,0.63
Q9BRG1,Q9GZU0,0.63
Q9UBU9,O75164,0.63
Q9UMR2,Q9GZX7,0.63
Q92945,O14578,0.63
P62318,O75530,0.63
Q96FI4,P82675,0.63
P14921,Q92785,0.63
O75554,P46019,0.63
Q9UBU9,Q9Y5B9,0.63
Q9UMR2,P06870,0.63
P62318,Q96EA4,0.63
Q96FI4,Q9P0M9,0.63
Q16576,O94761,0.63
P45985,P27695,0.63
Q9UBU9,O00625,0.63
Q13188,O95865,0.63
Q9UMR2,P04150,0.63
P62318,P03372,0.63
Q96FI4,Q9NX20,0.63
Q16576,Q8NAP3,0.63
P52564,Q13115,0.63
P98170,P45974,0.63
Q9UBU9,Q9Y4E8,0.63
Q13188,P17987,0.63
Q9UQC2,Q8IVT5,0.63
P62318,P78317,0.63
Q96FI4,P62847,0.63
P05067,Q9BYH1,0.63
P62877,Q9NXR8,0.63
Q15910,P36542,0.63
P20823,P30086,0.63
P98170,P14866,0.63
P30260,Q15542,0.63
Q9UBU9,Q9BZG8,0.63
Q13188,P13639,0.63
O94907,Q5TC82,0.63
P08263,Q13619,0.63
Q96FI4,P42694,0.63
Q15910,P07237,0.63
P20823,Q8NHM5,0.63
P98170,Q92932,0.63
P30260,P13236,0.63
Q9UBU9,Q9Y2S7,0.63
P49005,Q96CV9,0.63
P52926,Q9BSM1,0.63
Q9UPR3,Q9NRA8,0.63
Q96FI4,Q13601,0.63
P62877,P46934,0.63
Q15910,O00308,0.63
Q01831,Q5VYS8,0.63
Q16543,P36776,0.63
Q9UBU9,O00567,0.63
Q92540,P22607,0.63
Q96FI4,O76021,0.63
P05067,Q86WZ6,0.63
Q15910,Q7L2E3,0.63
Q15596,Q63ZY3,0.63
Q9UBU9,Q15785,0.63
Q02413,Q6P1J9,0.63
Q96FI4,Q8NB50,0.63
P62877,Q6UX01,0.63
O43172,Q9UNX3,0.63
Q12905,Q9UQ35,0.63
Q15596,Q16650,0.63
Q01831,P04150,0.63
Q9UBU9,Q9GZR7,0.63
P09429,P51531,0.63
Q92540,Q86YT6,0.63
Q15910,Q969Q1,0.63
P49768,P11172,0.63
Q12905,P18124,0.63
Q96DE5,Q8TEW6,0.63
Q9UBU9,Q86XN8,0.63
P49848,P62826,0.63
Q02413,P41002,0.63
P09429,P10515,0.63
Q92540,Q96I24,0.63
Q15910,P60660,0.63
Q13469,O43353,0.63
Q16543,Q96RR4,0.63
Q9UBU9,O43752,0.63
P09429,Q6UN15,0.63
Q92540,Q92904,0.63
O95644,P35250,0.63
Q12905,P26196,0.63
Q16543,O14976,0.63
Q9UBU9,O95602,0.63
P53999,P41091,0.63
O95644,O96019,0.63
P05067,P31943,0.63
Q15910,Q92785,0.63
Q07955,O60506,0.63
Q9UBU9,Q9BZC7,0.63
P15927,P98175,0.63
P05067,P13164,0.63
Q15910,Q9Y6Q9,0.63
Q12905,O15234,0.63
P06748,P51532,0.63
Q9UBU9,Q7Z7H5,0.63
P01137,O95239,0.63
P15927,Q15029,0.63
Q13469,Q9NRX2,0.63
P06400,Q96RK0,0.63
Q15910,P51786,0.63
P26599,Q9NR31,0.63
P01137,Q9ULX6,0.63
P52799,P61587,0.63
P09012,P62805,0.63
P15927,P55072,0.63
Q13469,P17544,0.63
Q07912,O14796,0.63
Q15910,Q7L311,0.63
P06748,Q13131,0.63
Q07955,P20290,0.63
Q9UBU9,Q8NEM2,0.63
P01137,P61978,0.63
P52597,O75844,0.63
Q13469,P41212,0.63
Q9UHB7,P14866,0.63
P15927,Q7Z6Z7,0.63
Q15910,Q8N1G4,0.63
P06454,P35908,0.63
Q07955,Q92804,0.63
Q9UBU9,Q5T0N5,0.63
P01137,P25398,0.63
Q8WYP5,Q9H444,0.63
P52597,P67809,0.63
P36578,P26639,0.63
Q13469,P06400,0.63
Q9UHB7,Q9BRC7,0.63
P06454,Q92688,0.63
Q9UBU9,Q9NVX0,0.63
P01137,Q14683,0.63
Q8WYP5,O43557,0.63
Q99523,O00526,0.63
P36578,Q9NVP1,0.63
Q9C0C7,Q96JG6,0.63
P15927,Q9ULY5,0.63
Q15910,P52298,0.63
P35236,Q709F0,0.63
P13010,P17947,0.63
Q9UBU9,P56181,0.63
P52597,P01116,0.63
Q07889,Q13813,0.63
P36578,Q96IR2,0.63
P15927,Q9NPG2,0.63
Q15910,Q92616,0.63
P06748,P62937,0.63
P13010,Q9H4L7,0.63
Q9UBU9,O95190,0.63
P50402,Q99496,0.63
P52597,Q7L2J0,0.63
P36578,Q9UII5,0.63
Q9C0C7,O95696,0.63
Q15910,Q8N201,0.63
Q06609,O15360,0.63
P06748,Q9NS91,0.63
P13010,P09651,0.63
P50750,P57740,0.63
Q9UBU9,Q8NBM8,0.63
P36578,Q8IXK0,0.63
Q9UJX6,P78527,0.63
Q15910,Q7Z4V5,0.63
Q06609,P62701,0.63
P06748,Q99543,0.63
P13010,Q6NT76,0.63
P50750,O75533,0.63
Q9UBU9,Q9NUM3,0.63
P52597,Q70EL1,0.63
P02549,P49459,0.63
P05386,Q5UIP0,0.63
Q9UJX5,Q6ZW49,0.63
Q8WUP2,Q8TCU4,0.63
P62826,P18583,0.63
P05107,P07948,0.63
P13010,P04629,0.63
P50750,Q9NV06,0.63
Q9UBU9,O00505,0.63
P37173,P62917,0.63
P50402,Q7Z6M4,0.63
P05386,P62263,0.63
P36578,Q92731,0.63
Q96AC1,Q96DZ9,0.63
P49790,Q07021,0.63
P13010,Q9H4L4,0.63
P50750,P78344,0.63
Q9UBU9,P68431,0.63
P37173,O76021,0.63
P50402,Q16623,0.63
P51449,Q9Y6Q9,0.63
P36578,P78317,0.63
Q96AC1,Q9GZZ1,0.63
P49790,Q13620,0.63
P13010,Q9UGI0,0.63
P50750,P35579,0.63
Q9UBU9,Q8WUA2,0.63
Q92913,Q53GS7,0.63
P50402,Q8TDD2,0.63
Q9UJX4,O75838,0.63
Q9Y6H6,Q12840,0.63
P49790,O15131,0.63
P13010,O95235,0.63
P50750,Q9P2E9,0.63
Q92913,Q9HAN9,0.63
P50402,Q8TDY2,0.63
P52597,Q96GD4,0.63
P12931,P31273,0.63
P36578,Q86YD7,0.63
Q9Y6H6,O75953,0.63
P13010,Q02241,0.63
P50750,P62304,0.63
Q15004,Q5D862,0.63
Q92913,Q14684,0.63
P50402,P23771,0.63
O75506,Q9BSB4,0.63
P36578,P61964,0.63
Q9Y6H6,Q8WV83,0.63
Q9UBU9,Q92997,0.63
P50750,Q8IXM3,0.63
Q15004,Q8NI08,0.63
Q86WV6,Q9NZ01,0.63
P50402,P17302,0.63
Q12905,O95166,0.63
P12931,Q92753,0.63
P24928,P14678,0.63
Q9UJX3,Q9NQC7,0.63
P36578,Q9NR30,0.63
P62877,Q86V81,0.63
Q9Y6H6,P43250,0.63
Q9UBU9,Q8WWY6,0.63
P12956,Q99643,0.63
P50750,Q9NPD3,0.63
P50402,P35712,0.63
P36578,O75937,0.63
P62877,P38159,0.63
Q9Y6H6,Q13332,0.63
Q9UBU9,Q9BYV9,0.63
Q15004,P25205,0.63
Q92973,Q9H269,0.63
Q13451,Q04726,0.63
Q96AY2,Q92698,0.63
Q9NT62,P18077,0.63
P36578,P01308,0.63
P62877,P17844,0.63
Q9Y6H6,Q15545,0.63
O14519,Q12830,0.63
Q15004,P13535,0.63
Q9HCJ0,Q2M2Z5,0.63
P12931,O00757,0.63
P04271,Q9Y4E5,0.63
Q9Y4P1,Q9HCE1,0.63
P36578,P09467,0.63
P62877,P16104,0.63
Q9Y6H6,Q9BQQ3,0.63
P22059,Q9NTJ5,0.63
P12956,P09466,0.63
P41208,Q8WU90,0.63
Q15004,Q13885,0.63
Q9HCJ0,O95487,0.63
Q12905,Q9BQA1,0.63
P04271,Q12965,0.63
P62877,O00763,0.63
Q9Y6H6,Q13705,0.63
Q15004,P13693,0.63
P12956,Q96T60,0.63
Q15004,Q07020,0.63
O43715,O95881,0.63
P04626,Q7Z7G1,0.63
P12931,Q9P2E7,0.63
P04271,Q15390,0.63
Q7Z3C6,Q9P0T4,0.63
P62877,P62241,0.63
Q9Y6H6,Q9BXB1,0.63
Q96IZ0,P01375,0.63
O96017,Q9GZV8,0.63
Q15004,Q07021,0.63
Q9H1D0,Q6A162,0.63
Q12905,Q9BZB8,0.63
P12931,Q9NSP4,0.63
Q7Z3C6,O43286,0.63
P05386,P60866,0.63
P62877,Q9Y5V3,0.63
Q15004,P62851,0.63
Q01081,Q8TAU3,0.63
P04626,Q14032,0.63
Q12905,O95994,0.63
P12931,Q5TGS1,0.63
Q7Z3C6,Q8N5K1,0.63
P05386,Q92731,0.63
P62877,Q5SSJ5,0.63
Q07666,Q14790,0.63
P12956,Q99798,0.63
Q15004,P62995,0.63
Q96B02,Q6UWE0,0.63
Q9UNL4,Q14457,0.63
P12931,Q13642,0.63
P05067,O14980,0.63
P05386,P68032,0.63
P12956,P35226,0.63
Q15004,Q9NZB2,0.63
P05067,P62753,0.63
Q15637,Q96ST3,0.63
P05386,P01308,0.63
P40855,P28066,0.63
P12956,Q9Y6K9,0.63
Q15004,O75533,0.63
P05067,Q9HDC5,0.63
Q15637,Q15393,0.63
P51449,O15055,0.63
Q13351,Q92997,0.63
P40855,Q9NX47,0.63
P12956,Q9UFC0,0.63
O14936,P41743,0.63
Q15004,Q969G3,0.63
P04626,Q07820,0.63
Q13188,Q6ZU80,0.63
P06400,O95905,0.63
O75928,Q8IUQ4,0.63
P12956,Q9UHD9,0.63
Q15004,Q14011,0.63
P04626,Q13619,0.63
Q15637,O43639,0.63
P51587,Q2TBA0,0.63
P24928,P52789,0.63
O75928,Q53HL2,0.63
Q15004,P62826,0.63
P05556,P05413,0.63
P24928,P51825,0.63
P15927,Q460N5,0.63
Q9Y3B4,Q9Y478,0.63
P61073,O60779,0.63
Q15004,Q8TCB0,0.63
Q8WXE9,Q9HBL8,0.63
O75533,Q07955,0.63
P15927,Q9BSD7,0.63
Q15418,P09874,0.63
Q9Y3B4,Q8NFZ5,0.63
P61073,P41162,0.63
Q15004,Q13151,0.63
O95292,Q9Y2R0,0.63
P05556,P78317,0.63
P05067,Q9C040,0.63
P19634,P06733,0.63
P24928,P60900,0.63
P15927,Q9UNX4,0.63
Q15418,P15880,0.63
Q9Y3B4,P61289,0.63
P61073,P46940,0.63
Q15004,Q15427,0.63
P05556,P78310,0.63
Q9UMX1,P51114,0.63
P05067,P06727,0.63
P11912,O15360,0.63
P15927,P14866,0.63
P61073,A6NJ78,0.63
Q15004,P04406,0.63
P05556,Q96A22,0.63
P49848,Q9UIH9,0.63
P05067,P31930,0.63
Q13042,P61201,0.63
P15927,P35749,0.63
Q15418,O95816,0.63
P61073,Q86TW2,0.63
Q15004,P12814,0.63
O75554,Q9Y247,0.63
P05556,Q9UQV4,0.63
Q03518,P78317,0.63
Q15796,P21980,0.63
P15927,P05388,0.63
Q9UBK2,O75925,0.63
Q9NR28,P02655,0.63
Q15004,Q6NZY4,0.63
P98170,Q96LR5,0.63
P05556,P10176,0.63
P29083,Q8IYB3,0.63
Q03518,Q6ZMB5,0.63
Q07912,Q9UM73,0.63
P24928,Q96T60,0.63
Q15418,Q8N1I0,0.63
Q9NR28,P36957,0.63
Q15004,P53992,0.63
P05107,P55036,0.63
Q03518,P17174,0.63
P30260,P06241,0.63
P15927,Q5VT52,0.63
Q15418,Q96CW1,0.63
Q9NR28,P28331,0.63
Q15004,P12268,0.63
P53999,Q96KB5,0.63
P30260,Q86YT6,0.63
Q6NUK1,P52272,0.63
Q9H816,Q9BXW9,0.63
Q15004,P00492,0.63
Q9C0C7,P25786,0.63
Q6NUK1,Q96LU5,0.63
Q15004,Q8NFC6,0.63
P53999,Q96HY6,0.63
Q9C0C7,P55786,0.63
Q15796,Q9NVC6,0.63
P30260,Q8NDV7,0.63
Q6NUK1,O95182,0.63
Q96DE5,Q13464,0.63
Q07666,O95400,0.63
Q9C0C7,Q9BUF5,0.63
Q07955,O43290,0.63
Q07666,Q9UKM9,0.63
P01137,Q9UKQ9,0.63
Q9C0C7,Q15293,0.63
Q16543,Q15554,0.63
P31431,Q13137,0.63
O43172,Q15287,0.63
O94907,P60331,0.63
Q06710,P49116,0.63
Q07955,Q96PZ2,0.63
Q07666,Q49AN0,0.63
P01137,P07237,0.63
P84022,P21333,0.63
O43172,O14980,0.63
Q06710,Q15596,0.63
Q07955,Q9H329,0.63
Q07666,Q99962,0.63
P01137,Q9H251,0.63
Q9UJX6,Q9UNE7,0.63
P06748,P52272,0.63
P06239,Q8TAA9,0.63
O43172,A8MWD9,0.63
Q07666,O14578,0.63
Q9UJX6,Q02790,0.63
P06748,Q86TS9,0.63
Q15637,O00505,0.63
P06239,Q8WZ64,0.63
O43172,P01106,0.63
P26599,Q9NRD1,0.63
Q01094,Q96QT6,0.63
Q07955,Q9UHB9,0.63
Q9UJX6,P04637,0.63
P06748,P25705,0.63
P84022,Q99697,0.63
Q15637,P01375,0.63
P06239,Q01974,0.63
P52799,Q6NUM9,0.63
P13010,P35548,0.63
Q9UJX6,Q9NX40,0.63
P06748,P19474,0.63
Q16543,Q9NVV9,0.63
Q15637,Q96HY6,0.63
P49768,Q9Y2J2,0.63
P40855,Q8N9F0,0.63
O00522,P62745,0.63
Q86WV6,Q9H2F3,0.63
P06748,Q9Y657,0.63
P84022,O43186,0.63
O75928,Q86XR7,0.63
Q9UJX5,Q9NQX3,0.63
P06748,O75821,0.63
P62318,Q9Y383,0.63
O75533,Q9NS56,0.63
P06239,Q9Y2G0,0.63
P26599,Q8N122,0.63
O75928,Q8TD31,0.63
Q15418,Q9H4M7,0.63
Q9UJX4,Q9UPN9,0.63
P06748,P49406,0.63
P62318,Q9Y5B6,0.63
Q16543,Q9NTM9,0.63
O75533,P61978,0.63
P06239,Q9HB71,0.63
P28324,P57053,0.63
O75928,Q06455,0.63
P23443,Q00005,0.63
Q92973,P13569,0.63
Q92540,Q2NL82,0.63
Q16543,Q96IK5,0.63
O75533,Q14999,0.63
P26599,Q8WVJ2,0.63
Q92973,Q14244,0.63
Q92540,Q5JTH9,0.63
Q16543,O00468,0.63
P26599,O00487,0.63
P50402,Q14566,0.63
Q9Y3B4,P62316,0.63
